"Manufacturer Part Number","Manufacturer","Digi-Key Part Number","Customer Reference","Reference Designator","Packaging","Part Status","Quantity","Unit Price","Extended Price","Quantity Available","Mfg Std Lead Time","Description","RoHS Status","Lead Free Status","REACH Status"
"SN74LV1T34DBVR","Texas Instruments","296-37176-1-ND","","","Cut Tape (CT)","Active","1","0,41000","0,41 €","33969","6 Weeks","IC BUF NON-INVERT 5.5V SOT23-5","ROHS3 Compliant","Lead free","REACH Unaffected"
"QBLP677R-RGB","QT Brightek (QTB)","1516-1282-1-ND","","","Cut Tape (CT)","Active","1","0,94000","0,94 €","7036","8 Weeks","LED RGB DIFFUSED 4PLCC SMD","RoHS Compliant","Lead free","Not Available"
"CSS-0575B-SMT-TR","CUI Devices","102-2202-1-ND","","","Cut Tape (CT)","Active","1","2,84000","2,84 €","2309","9 Weeks","AUDIO MAGNETIC XDCR 2-4V SMD","RoHS Compliant","Lead free","Not Available"
"3727","Adafruit Industries LLC","1528-2554-ND","","","Bulk","Active","1","10,67000","10,67 €","272","12 Weeks","ITSYBITSY M0 EXPRESS ATSAMD21","Not Available","Not Available","Not Available"
"TSM-105-03-L-DV","Samtec Inc.","SAM12235-ND","","","Tube","Active","1","1,10000","1,10 €","189","Not Available","CONN HEADER SMD 10POS 2.54MM","ROHS3 Compliant","Lead free","REACH Unaffected"
"HDR100IMP40M-G-V-SM","Chip Quik Inc.","HDR100IMP40M-G-V-SM-ND","","","Bulk","Active","1","0,97000","0,97 €","143","4 Weeks","CONN HEADER SMD 40POS 2.54MM","ROHS3 Compliant","Lead free","REACH Unaffected"
"CC1206JRX7R9BB104","Yageo","311-1435-1-ND","","","Cut Tape (CT)","Active","2","0,23000","0,46 €","140674","18 Weeks","CAP CER 0.1UF 50V X7R 1206","ROHS3 Compliant","Lead free","REACH Unaffected"
"CR1206-JW-103GLF","Bourns Inc.","CR1206-JW-103GLFCT-ND","","","Cut Tape (CT)","Discontinued at Digi-Key","4","0,09000","0,36 €","9050","Not Available","RES SMD 10K OHM 5% 1/4W 1206","ROHS3 Compliant","Lead free","REACH Unaffected"
"CR1206-JW-102GLF","Bourns Inc.","CR1206-JW-102GLFCT-ND","","","Cut Tape (CT)","Discontinued at Digi-Key","5","0,09000","0,45 €","20725","Not Available","RES SMD 1K OHM 5% 1/4W 1206","ROHS3 Compliant","Lead free","REACH Unaffected"
"CR1206-JW-331ELF","Bourns Inc.","CR1206-JW-331ELFCT-ND","","","Cut Tape (CT)","Active","5","0,09000","0,45 €","52148","14 Weeks","RES SMD 330 OHM 5% 1/4W 1206","ROHS3 Compliant","Lead free","REACH Unaffected"